Sprint ID,Project,Sprint Name,Start Date,End Date,Planned Story Points,Completed Story Points,Sprint Progress (%)
RATP-SPR-01,RATP,Sprint 1,2025-01-06,2025-01-19,40,29,72.5
RATP-SPR-02,RATP,Sprint 2,2025-01-20,2025-02-02,34,26,76.5
RATP-SPR-03,RATP,Sprint 3,2025-02-03,2025-02-16,32,28,87.5
RATP-SPR-04,RATP,Sprint 4,2025-02-17,2025-03-02,40,35,87.5
RATP-SPR-05,RATP,Sprint 5,2025-03-03,2025-03-16,38,27,71.1
RATP-SPR-06,RATP,Sprint 6,2025-03-17,2025-03-30,36,25,69.4
RATP-SPR-07,RATP,Sprint 7,2025-03-31,2025-04-13,31,23,74.2
RATP-SPR-08,RATP,Sprint 8,2025-04-14,2025-04-27,38,32,84.2
RATP-SPR-09,RATP,Sprint 9,2025-04-28,2025-05-11,38,28,73.7
RATP-SPR-10,RATP,Sprint 10,2025-05-12,2025-05-25,40,35,87.5
ASN-SPR-01,ASN,Sprint 1,2025-02-03,2025-02-16,30,18,60.0
ASN-SPR-02,ASN,Sprint 2,2025-02-17,2025-03-02,33,21,63.6
ASN-SPR-03,ASN,Sprint 3,2025-03-03,2025-03-16,24,19,79.2
ASN-SPR-04,ASN,Sprint 4,2025-03-17,2025-03-30,26,20,76.9
ASN-SPR-05,ASN,Sprint 5,2025-03-31,2025-04-13,29,18,62.1
ASN-SPR-06,ASN,Sprint 6,2025-04-14,2025-04-27,27,23,85.2
ASN-SPR-07,ASN,Sprint 7,2025-04-28,2025-05-11,29,17,58.6
ASN-SPR-08,ASN,Sprint 8,2025-05-12,2025-05-25,30,17,56.7
ASN-SPR-09,ASN,Sprint 9,2025-05-26,2025-06-08,29,21,72.4
ASN-SPR-10,ASN,Sprint 10,2025-06-09,2025-06-22,24,18,75.0
CLTX-SPR-01,CLTX,Sprint 1,2025-03-03,2025-03-16,44,38,86.4
CLTX-SPR-02,CLTX,Sprint 2,2025-03-17,2025-03-30,42,36,85.7
CLTX-SPR-03,CLTX,Sprint 3,2025-03-31,2025-04-13,40,40,100.0
CLTX-SPR-04,CLTX,Sprint 4,2025-04-14,2025-04-27,45,45,100.0
CLTX-SPR-05,CLTX,Sprint 5,2025-04-28,2025-05-11,41,39,95.1
CLTX-SPR-06,CLTX,Sprint 6,2025-05-12,2025-05-25,37,32,86.5
CLTX-SPR-07,CLTX,Sprint 7,2025-05-26,2025-06-08,39,38,97.4
CLTX-SPR-08,CLTX,Sprint 8,2025-06-09,2025-06-22,37,37,100.0
CLTX-SPR-09,CLTX,Sprint 9,2025-06-23,2025-07-06,37,34,91.9
CLTX-SPR-10,CLTX,Sprint 10,2025-07-07,2025-07-20,43,41,95.3
